unit_type,u,grat_contrast,grat_orientation,response,smoothed_response
excit,6,0.0432773,0,0.001672664125,0.0016987574166666666
excit,6,0.0432773,15,0.002382404083333333,0.0025025172916666666
excit,6,0.0432773,30,0.0029332445833333332,0.0029799991666666667
excit,6,0.0432773,45,0.002220061375,0.0024085008333333334
excit,6,0.0432773,60,0.003242632,0.0034361649166666664
excit,6,0.0432773,75,0.0025513011666666668,0.002777919833333333
excit,6,0.0432773,90,0.002962116291666667,0.003335567208333333
excit,6,0.0432773,105,0.0024181520833333335,0.002583924333333333
excit,6,0.0432773,120,0.0024659867083333333,0.002712037375
excit,6,0.0432773,135,0.002315231666666667,0.0022915075
excit,6,0.0432773,150,0.002880557791666667,0.003046646666666667
excit,6,0.0432773,165,0.0016956687499999998,0.0018577547500000001
excit,6,0.103411,0,0.003128479333333333,0.0033088959166666667
excit,6,0.103411,15,0.002950394625,0.00317085625
excit,6,0.103411,30,0.0031299174999999996,0.0031485820833333333
excit,6,0.103411,45,0.003659622916666667,0.0037144297916666667
excit,6,0.103411,60,0.0031593845416666663,0.003350667083333333
excit,6,0.103411,75,0.0030067500000000003,0.0028759315833333334
excit,6,0.103411,90,0.0027854934166666664,0.0027026822916666666
excit,6,0.103411,105,0.002916244375,0.002883179
excit,6,0.103411,120,0.002932683041666667,0.0031452263333333337
excit,6,0.103411,135,0.0031558791250000003,0.00321255175
excit,6,0.103411,150,0.0023621614166666667,0.0024217964166666664
excit,6,0.103411,165,0.0033380621249999996,0.0035197185
excit,6,0.186966,0,0.005385742874999999,0.005303280541666667
excit,6,0.186966,15,0.00298238525,0.003122730166666667
excit,6,0.186966,30,0.0034937249583333334,0.003639416583333334
excit,6,0.186966,45,0.0027004617500000004,0.0029569153750000003
excit,6,0.186966,60,0.003639464166666667,0.0036222363750000003
excit,6,0.186966,75,0.004584169625,0.004658410125
excit,6,0.186966,90,0.004417021041666667,0.004431945958333333
excit,6,0.186966,105,0.004116197041666667,0.004086717708333333
excit,6,0.186966,120,0.004331312125,0.004689917166666667
