u,unit_type,grat_orientation,grat_contrast,grat_spat_freq,grat_phase,response,smoothed_response
2,excit,0,1.0,0.0577032,270,0.0,0.0
2,excit,0,1.0,0.138612,0,0.000856898,0.000856898
2,excit,0,1.0,0.138612,90,0.000922509,0.000922509
2,excit,0,1.0,0.138612,180,0.00133156,0.00133156
2,excit,0,1.0,0.138612,270,0.00119904,0.00167866
2,excit,0,1.0,0.332966,0,0.00119904,0.00119904
2,excit,0,1.0,0.332966,90,0.000856164,0.0010274
2,excit,0,1.0,0.332966,180,0.00184502,0.00166052
2,excit,0,1.0,0.332966,270,0.0,0.0
2,excit,0,1.0,0.799834,0,0.0,0.0
2,excit,0,1.0,0.799834,90,0.000749625,0.000749625
2,excit,0,1.0,0.799834,180,0.0,0.0
2,excit,0,1.0,0.799834,270,0.0,0.0
2,excit,15,0.0,0.01,0,0.00276753,0.00221402
2,excit,15,0.0,0.01,90,0.001998,0.001998
2,excit,15,0.0,0.01,180,0.0,0.0
2,excit,15,0.0,0.01,270,0.000922509,0.000922509
2,excit,15,0.0,0.0240215,0,0.00218102,0.00239913
2,excit,15,0.0,0.0240215,90,0.00171233,0.0010274
2,excit,15,0.0,0.0240215,180,0.000705219,0.000987306
2,excit,15,0.0,0.0240215,270,0.000999001,0.000999001
2,excit,15,0.0,0.0577032,0,0.00133333,0.00106667
2,excit,15,0.0,0.0577032,90,0.000999001,0.000799201
2,excit,15,0.0,0.0577032,180,0.002997,0.001998
2,excit,15,0.0,0.0577032,270,0.002,0.0022
2,excit,15,0.0,0.138612,0,0.0,0.0005997
2,excit,15,0.0,0.138612,90,0.0,0.0
2,excit,15,0.0,0.138612,180,0.0,0.0
2,excit,15,0.0,0.138612,270,0.0,0.0
2,excit,15,0.0,0.332966,0,0.0,0.0
2,excit,15,0.0,0.332966,90,0.0,0.0
2,excit,15,0.0,0.332966,180,0.00149925,0.00089955
2,excit,15,0.0,0.332966,270,0.00133333,0.00133333
2,excit,15,0.0,0.799834,0,0.00108932,0.00152505
2,excit,15,0.0,0.799834,90,0.00342759,0.00291345
2,excit,15,0.0,0.799834,180,0.000999001,0.0015984
2,excit,15,0.0,0.799834,270,0.0,0.0
2,excit,15,0.0432773,0.01,0,0.000922509,0.000922509
2,excit,15,0.0432773,0.01,90,0.0,0.000479616
2,excit,15,0.0432773,0.01,180,0.0,0.0
2,excit,15,0.0432773,0.01,270,0.004,0.0024
2,excit,15,0.0432773,0.0240215,0,0.0,0.0
2,excit,15,0.0432773,0.0240215,90,0.0,0.0
2,excit,15,0.0432773,0.0240215,180,0.002,0.0022
2,excit,15,0.0432773,0.0240215,270,0.0,0.0
2,excit,15,0.0432773,0.0577032,0,0.0,0.000479616
2,excit,15,0.0432773,0.0577032,90,0.0029985,0.0029985
2,excit,15,0.0432773,0.0577032,180,0.0,0.000369004
2,excit,15,0.0432773,0.0577032,270,0.00171233,0.00136986
2,excit,15,0.0432773,0.138612,0,0.0,0.0
2,excit,15,0.0432773,0.138612,90,0.00133333,0.00133333
2,excit,15,0.0432773,0.138612,180,0.0,0.0
2,excit,15,0.0432773,0.138612,270,0.0,0.000282087
2,excit,15,0.0432773,0.332966,0,0.0,0.0
2,excit,15,0.0432773,0.332966,90,0.0,0.0
2,excit,15,0.0432773,0.332966,180,0.000705219,0.000846262
2,excit,15,0.0432773,0.332966,270,0.00342466,0.00308219
2,excit,15,0.0432773,0.799834,0,0.00108932,0.00108932
2,excit,15,0.0432773,0.799834,90,0.000999001,0.000999001
2,excit,15,0.0432773,0.799834,180,0.00423131,0.00409027
2,excit,15,0.0432773,0.799834,270,0.0,0.0003996
2,excit,15,0.103411,0.01,0,0.00133333,0.0016
2,excit,15,0.103411,0.01,90,0.0,0.0
2,excit,15,0.103411,0.01,180,0.0,0.0
2,excit,15,0.103411,0.01,270,0.0,0.0008
2,excit,15,0.103411,0.0240215,0,0.000999001,0.000799201
2,excit,15,0.103411,0.0240215,90,0.0,0.0
2,excit,15,0.103411,0.0240215,180,0.0,0.0
2,excit,15,0.103411,0.0240215,270,0.0,0.0
2,excit,15,0.103411,0.0577032,0,0.0,0.0003996
2,excit,15,0.103411,0.0577032,90,0.0017138,0.00137104
2,excit,15,0.103411,0.0577032,180,0.0,0.0
2,excit,15,0.103411,0.0577032,270,0.0,0.0
2,excit,15,0.103411,0.138612,0,0.0,0.0
2,excit,15,0.103411,0.138612,90,0.0,0.0
2,excit,15,0.103411,0.138612,180,0.00266312,0.00292943
2,excit,15,0.103411,0.138612,270,0.00199867,0.00186542
2,excit,15,0.103411,0.332966,0,0.00119904,0.00119904
2,excit,15,0.103411,0.332966,90,0.0,0.0
2,excit,15,0.103411,0.332966,180,0.00133333,0.0016
2,excit,15,0.103411,0.332966,270,0.00109051,0.00087241
2,excit,15,0.103411,0.799834,0,0.0029985,0.00269865
2,excit,15,0.103411,0.799834,90,0.0029985,0.0023988
2,excit,15,0.103411,0.799834,180,0.0,0.0002
2,excit,15,0.103411,0.799834,270,0.0,0.0
2,excit,15,0.186966,0.01,0,0.00239808,0.00223821
2,excit,15,0.186966,0.01,90,0.0,0.000319744
2,excit,15,0.186966,0.01,180,0.0,0.0
2,excit,15,0.186966,0.01,270,0.00119904,0.00119904
2,excit,15,0.186966,0.0240215,0,0.0,0.0
2,excit,15,0.186966,0.0240215,90,0.00109051,0.00130862
2,excit,15,0.186966,0.0240215,180,0.00184502,0.00184502
2,excit,15,0.186966,0.0240215,270,0.0,0.0
2,excit,15,0.186966,0.0577032,0,0.00119904,0.000719424
2,excit,15,0.186966,0.0577032,90,0.00171233,0.00171233
2,excit,15,0.186966,0.0577032,180,0.0,0.0
2,excit,15,0.186966,0.0577032,270,0.000999001,0.0011988
2,excit,15,0.186966,0.138612,0,0.00141044,0.00141044
